signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,TP1,TP2,TP3,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,potentialLoss
SOL/USDT:LONG:20.27,"05/05/2023, 06:35:18 PM","05/06/2023, 10:01:00 AM",SOL/USDT,,LONG,4,22.53,0,1,1,1.076,100,100,1.076,0,1.076,closed,22.53,20.7,22.8,23.83,25.36,20.27,4.794,23.08,50.244,-40.124
XRP/USDT:SHORT:0.4863,"05/06/2023, 04:16:48 PM","05/17/2023, 02:13:00 AM",XRP/USDT,,SHORT,5,0.455,0,1,2,20.959,100,100,20.959,0,20.959,closed,0.455,0.48,0.446,0.419,0.34,0.486,9.131,38.834,125.963,-34.983
ADA/USDT:SHORT:0.3989,"05/08/2023, 07:18:35 AM","05/09/2023, 03:05:00 AM",ADA/USDT,,SHORT,5,0.369,0,1,1,4.54,100,100,4.54,0,4.54,closed,0.369,0.393,0.36,0.33,0.309,0.399,11.666,52.36,80.304,-41.101
SXP/USDT:SHORT:0.477,"05/10/2023, 12:31:06 PM","05/10/2023, 02:17:00 PM",SXP/USDT,,SHORT,3,0.42,0,1,0,1.856,100,100,1.856,0,1.856,closed,0.42,0.466,0.41,0.28,0.24,0.477,7.352,100.143,128.694,-40.471
MANA/USDT:SHORT:0.495,"05/11/2023, 04:54:50 PM","05/12/2023, 11:11:00 PM",MANA/USDT,,SHORT,4,0.452,0,1,1,3.688,100,100,3.688,0,3.688,closed,0.452,,0.443,0.385,0.3,0.495,8.58,59.443,134.631,-37.859
MASK/USDT:LONG:3.6,"05/15/2023, 09:36:11 AM","05/18/2023, 05:18:00 PM",MASK/USDT,,LONG,7,3.871,0,1,3,76.076,100,100,76.076,0,76.076,closed,3.871,3.68,3.98,4.3,4.6,3.6,19.711,77.577,131.826,-49.005
EGLD/USDT:LONG:34.71,"05/17/2023, 07:58:02 PM","06/05/2023, 03:13:00 AM",EGLD/USDT,,LONG,6,37.44,0,1,1,3.38,100,100,3.38,0,3.38,closed,37.44,35.59,38.14,39.12,43,34.71,11.218,26.923,89.103,-43.75
ALGO/USDT:SHORT:1,"05/24/2023, 06:28:54 PM","05/24/2023, 06:29:00 PM",ALGO/USDT,,SHORT,3,0,0,0,0,0,100,0,0,0,0,closed,1,,1,,,1,0,,,-0
ADA/USDT:SHORT:1,"05/26/2023, 10:58:44 AM","05/26/2023, 10:59:00 AM",ADA/USDT,,SHORT,7,0,0,0,0,0,100,0,0,0,0,closed,1,,1,,,1,0,,,-0
FTM/USDT:LONG:1,"05/28/2023, 01:23:10 PM","05/28/2023, 01:24:00 PM",FTM/USDT,,LONG,7,1,0,1,0,0,100,100,0,0,0,closed,1,,1,,,1,0,,,-0
ALGO/USDT:LONG:0.148,"05/28/2023, 08:38:23 PM","05/31/2023, 06:48:00 AM",ALGO/USDT,,LONG,10,0.152,0,1,0,-28.234,100,100,-28.234,0,-28.234,closed,0.152,0.148,0.155,0.16,0.2,0.148,17.728,50.558,313.198,-28.234
HBAR/USDT:LONG:1,"05/29/2023, 12:18:02 AM","05/29/2023, 12:19:00 AM",HBAR/USDT,,LONG,8,1,0,1,0,0,100,100,0,0,0,closed,1,,1,,,1,0,,,-0
DOT/USDT:LONG:1,"05/29/2023, 12:29:20 AM","05/29/2023, 12:30:00 AM",DOT/USDT,,LONG,3,0,0,0,0,0,100,0,0,0,0,closed,1,,1,,,1,0,,,-0
OP/USDT:SHORT:1.4207,"05/31/2023, 01:44:54 PM","05/31/2023, 09:38:00 PM",OP/USDT,,SHORT,10,1.376,0,1,0,-3.997,100,100,-3.997,0,-3.997,closed,1.376,,1.331,1.255,,1.421,32.485,87.936,,-32.485
SOL/USDT:SHORT:21.61,"05/31/2023, 04:22:06 PM","06/04/2023, 08:45:00 AM",SOL/USDT,,SHORT,6,20.45,0,1,0,-34.034,100,100,-34.034,0,-34.034,closed,20.45,21.3,20.06,19.49,17.61,21.61,11.443,28.166,83.325,-34.034
KEY/USDT:LONG:0.007127,"06/04/2023, 04:49:55 PM","06/05/2023, 01:50:00 PM",KEY/USDT,,LONG,6,0.008,0,1,1,1.882,100,100,1.882,0,1.882,closed,0.008,0.007,0.008,0.009,0.01,0.007,3.191,72.854,182.477,-58.572
MATIC/USDT:SHORT:0.8449,"06/06/2023, 12:34:36 AM","06/06/2023, 06:52:00 AM",MATIC/USDT,,SHORT,10,0.833,0,1,1,4.836,100,100,4.836,0,4.836,closed,0.833,,0.826,0.824,,0.845,7.688,10.691,,-14.895
ONEUSDT:LONG:0.01228,"06/06/2023, 04:18:41 PM","06/07/2023, 03:37:00 AM",ONEUSDT,,LONG,5,0.013,0,1,1,4.394,100,100,4.394,0,4.394,closed,0.013,0.013,0.013,0.014,0.016,0.012,11.814,28.582,109.756,-32.012
BNBUSDT:LONG:260,"06/06/2023, 04:21:30 PM","06/07/2023, 05:30:00 AM",BNBUSDT,,LONG,6,277.8,0,1,1,3.653,100,100,3.653,0,3.653,closed,277.8,,283,312,344,260,11.231,73.866,142.981,-38.445
