signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,potentialLoss
DGBUSDT:LONG:0.00975,"04/17/2023, 06:00:37 PM","04/17/2023, 11:12:00 PM",DGBUSDT,Binance Futures,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.012,0.012,0.013,0.014,0.014,0.01,40.201,55.276,100.503,160.804,226.131,286.432,356.784,406.03,-20.101
AAVEUSDT:LONG:78.61,"04/18/2023, 03:00:42 AM","04/19/2023, 10:03:00 AM",AAVEUSDT,Bybit USDT,LONG,10,80.095,0,2,1,20.945,100,50,10.473,0,10.473,closed,80.23,79.96,79.69,79.42,83.45,84.66,88.28,93.12,98.36,103.2,108.85,112.88,78.61,40.135,55.216,100.337,160.663,225.975,286.302,356.724,406.955,-20.192
ADAUSDT:LONG:0.4218,"04/18/2023, 04:00:37 AM","04/18/2023, 01:38:00 PM",ADAUSDT,Bybit USDT,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,0.431,0.429,0.428,0.426,0.448,0.454,0.474,0.5,0.528,0.554,0.584,0.606,0.422,40.186,55.285,100.581,160.743,226.016,286.411,356.794,406.969,-20.209
NEARUSDT:LONG:2.286,"04/18/2023, 09:30:05 AM","04/19/2023, 10:10:00 AM",NEARUSDT,Bybit USDT,LONG,10,2.321,0,4,0,-15.065,100,100,-15.065,0,-15.065,closed,2.333,2.325,2.317,2.309,2.427,2.462,2.567,2.708,2.86,3.001,3.165,3.283,2.286,40.291,55.294,100.3,160.737,225.889,286.327,356.622,407.201,-20.146
OCEANUSDT:LONG:0.4271,"04/18/2023, 09:30:05 AM","04/18/2023, 08:02:00 PM",OCEANUSDT,Binance Futures,LONG,10,0.434,0,4,0,-15.204,100,100,-15.204,0,-15.204,closed,0.436,0.434,0.433,0.432,0.453,0.46,0.48,0.506,0.534,0.561,0.591,0.613,0.427,40.147,55.288,100.482,160.817,225.969,286.304,356.733,406.974,-20.188
APEUSDT:LONG:4.416,"04/18/2023, 09:30:05 AM","04/19/2023, 10:02:00 AM",APEUSDT,Bybit USDT,LONG,10,4.484,0,4,0,-15.261,100,100,-15.261,0,-15.261,closed,4.507,4.492,4.477,4.462,4.688,4.756,4.96,5.232,5.526,5.798,6.115,6.342,4.416,40.16,55.247,100.51,160.861,226.093,286.443,356.778,407.144,-20.191
KAVAUSDT:LONG:0.9276,"04/18/2023, 05:00:30 PM","04/18/2023, 07:41:00 PM",KAVAUSDT,Binance Futures,LONG,10,0.942,0,4,0,-15.116,100,100,-15.116,0,-15.116,closed,0.947,0.943,0.94,0.937,0.985,0.999,1.042,1.099,1.161,1.218,1.284,1.332,0.928,40.144,55.25,100.465,160.786,226.178,286.393,356.75,407.036,-20.072
CHZUSDT:LONG:0.13204,"04/18/2023, 08:00:27 PM","04/19/2023, 08:52:00 AM",CHZUSDT,Binance Futures,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,0.135,0.134,0.134,0.133,0.14,0.142,0.148,0.156,0.165,0.173,0.183,0.19,0.132,40.223,55.288,100.482,160.816,226.122,286.456,356.809,407.05,-20.111
1000SHIBUSDT:LONG:0.01122,"04/18/2023, 10:00:23 PM","04/19/2023, 10:11:00 AM",1000SHIBUSDT,Binance Futures,LONG,10,0.011,0,4,0,-15.345,100,100,-15.345,0,-15.345,closed,0.011,0.011,0.011,0.011,0.012,0.012,0.013,0.013,0.014,0.015,0.016,0.016,0.011,40.437,55.546,100.786,161.135,226.463,286.812,357.118,407.424,-20.087
AUDIOUSDT:LONG:0.3565,"04/19/2023, 04:00:22 AM","04/19/2023, 09:54:00 AM",AUDIOUSDT,Bybit USDT,LONG,10,0.362,0,4,0,-15.315,100,100,-15.315,0,-15.315,closed,0.364,0.363,0.361,0.36,0.378,0.384,0.4,0.422,0.446,0.468,0.494,0.512,0.357,39.846,54.96,100.302,160.484,225.886,286.068,356.417,406.705,-20.335
BTCUSDT:LONG:29249.9,"04/19/2023, 09:00:18 AM","04/19/2023, 10:11:00 AM",BTCUSDT,Bybit USDT,LONG,10,29699.479,0,4,0,-15.138,100,100,-15.138,0,-15.138,closed,29849.9,29749.9,29649.9,29549.9,31049.8,31499.8,32849.8,34649.8,36599.8,38399.8,40499.8,41999.8,29249.9,40.198,55.273,100.499,160.801,226.128,286.43,356.782,407.033,-20.101
GALUSDT:LONG:2.017,"04/19/2023, 09:00:31 AM","04/19/2023, 10:10:00 AM",GALUSDT,Bybit USDT,LONG,10,2.048,0,4,0,-15.122,100,100,-15.122,0,-15.122,closed,2.059,2.052,2.045,2.038,2.141,2.172,2.266,2.39,2.524,2.648,2.793,2.897,2.017,40.078,55.137,100.559,160.797,226.136,286.374,356.813,407.093,-20.16
