signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,TP Pot. Profit 9,TP Pot. Profit 10,TP Pot. Profit 11,TP Pot. Profit 12,TP Pot. Profit 13,TP Pot. Profit 14,TP Pot. Profit 15,potentialLoss
0880,"01/15/2023, 03:38:26 PM","01/20/2023, 10:02:00 PM",APE/USDT,,SHORT,10,5.178,0,4,5,28.241,100,100,28.241,0,28.241,closed,5.06,5.14,5.22,5.3,5,4.92,4.82,4.7,4.5,4.2,3.9,3.5,3,,,,,,,5.53,11.858,27.668,47.431,71.146,110.672,169.96,229.249,308.3,407.115,,,,,,,-92.885
0881,"01/16/2023, 02:58:12 PM","01/30/2023, 08:10:00 PM",XRP/USDT,,LONG,3,0.388,0,1,2,1.508,100,25,0.377,0,0.377,closed,0.388,0.363,0.337,0.312,0.4,0.415,0.435,0.46,0.5,0.58,0.7,0.95,1.15,1.36,1.69,,,,,0.278,9.278,20.876,36.34,55.67,86.598,148.454,241.237,434.536,589.175,751.546,1006.701,,,,,-85.052
0882,"01/17/2023, 04:01:48 PM","03/03/2023, 02:30:00 AM",ALGO/USDT,,LONG,3,0.228,0,2,5,18.274,100,50,9.137,0,9.137,closed,0.236,0.221,0.207,0.192,0.243,0.25,0.26,0.275,0.3,0.34,0.4,0.47,0.55,0.7,0.96,,,,,0.171,8.898,17.797,30.508,49.576,81.356,132.203,208.475,297.458,399.153,589.831,920.339,,,,,-82.627
0883,"01/18/2023, 05:13:51 PM","03/10/2023, 11:32:00 AM",LRC/USDT,,LONG,3,0.256,0,2,7,76.722,100,50,38.361,0,38.361,closed,0.265,0.248,0.232,0.215,0.275,0.285,0.3,0.32,0.35,0.39,0.45,0.52,0.62,0.75,0.95,1.23,,,,0.188,11.321,22.642,39.623,62.264,96.226,141.509,209.434,288.679,401.887,549.057,775.472,1092.453,,,,-87.17
0884,"01/19/2023, 02:33:38 PM","01/20/2023, 09:19:00 PM",ADA/USDT,,SHORT,10,0.337,0,4,0,-65.704,100,100,-65.704,0,-65.704,closed,0.328,0.334,0.34,0.346,0.324,0.32,0.315,0.308,0.3,0.29,0.275,0.26,0.24,,,,,,,0.359,12.195,24.39,39.634,60.976,85.366,115.854,161.585,207.317,268.293,,,,,,,-94.512
0885,"01/20/2023, 02:10:50 PM","01/24/2023, 11:27:00 PM",COMP/USDT,,LONG,3,48.1,0,1,3,4.397,100,25,1.099,-0,1.099,closed,48.1,45.133,42.167,39.2,49.5,51,53,56,61,69,80,110,140,180,230,,,,,34.8,8.732,18.087,30.561,49.272,80.457,130.353,198.96,386.071,573.181,822.661,1134.511,,,,,-82.952
0886,"01/21/2023, 02:33:28 PM","01/22/2023, 12:29:00 PM",GALA/USDT,,LONG,3,0.05,0,1,1,0.455,100,25,0.114,0,0.114,closed,0.05,0.046,0.043,0.039,0.051,0.053,0.056,0.059,0.064,0.072,0.085,0.1,0.12,0.142,0.165,0.188,,,,0.034,9.091,21.212,39.394,57.576,87.879,136.364,215.152,306.061,427.273,560.606,700,839.394,,,,-92.727
0887,"01/24/2023, 02:25:39 PM","01/30/2023, 10:07:00 AM",GMT/USDT,,LONG,3,0.555,0,3,4,15.424,100,75,11.568,0,11.568,closed,0.595,0.557,0.518,0.48,0.61,0.63,0.65,0.68,0.74,0.85,1,1.2,1.42,1.65,2.15,,,,,0.427,7.563,17.647,27.731,42.857,73.109,128.571,204.202,305.042,415.966,531.933,784.034,,,,,-84.706
0888,"01/24/2023, 02:56:01 PM","01/30/2023, 10:09:00 AM",AAVE/USDT,,LONG,3,82.83,0,2,1,0.936,100,50,0.468,0,0.468,closed,85.6,80.233,74.867,69.5,88,91,95,100,107,117,130,150,180,220,265,325,,,,61.3,8.411,18.925,32.944,50.467,75,110.047,155.607,225.701,330.841,471.028,628.738,839.019,,,,-85.164
0890,"01/26/2023, 05:58:25 PM","01/30/2023, 10:07:00 AM",XLM/USDT,,LONG,3,0.092,0,1,1,0.408,100,25,0.102,0,0.102,closed,0.092,0.086,0.08,0.074,0.095,0.098,0.101,0.106,0.118,0.135,0.165,0.2,0.26,0.335,,,,,,0.066,8.152,17.935,29.348,45.652,84.783,140.217,238.043,352.174,547.826,792.391,,,,,,-84.783
0891,"01/27/2023, 03:44:30 PM","01/28/2023, 12:08:00 PM",MATIC/USDT,,LONG,3,1.12,0,1,2,1.339,100,25,0.335,0,0.335,closed,1.12,1.047,0.973,0.9,1.15,1.19,1.24,1.3,1.4,1.55,1.75,2,2.3,2.7,3.25,3.85,,,,0.79,8.036,18.75,32.143,48.214,75,115.179,168.75,235.714,316.071,423.214,570.536,731.25,,,,-88.393
0892,"01/28/2023, 05:24:14 PM","01/30/2023, 06:33:00 PM",DOGE/USDT,,LONG,3,0.089,0,1,1,0.421,100,25,0.105,0,0.105,closed,0.089,0.084,0.078,0.073,0.092,0.095,0.102,0.112,0.13,0.15,0.19,0.23,0.28,0.33,,,,,,0.065,8.427,20.225,43.82,77.528,138.202,205.618,340.449,475.281,643.82,812.36,,,,,,-82.584
0893,"01/30/2023, 03:42:37 PM","02/02/2023, 11:00:00 PM",HNT/USDT,,LONG,1,2.8,0,1,1,0.446,100,25,0.112,0,0.112,closed,2.8,2.367,1.933,1.5,3.05,3.35,3.7,4.2,5,6.5,8.5,11,15,20,27.7,,,,,1.01,8.929,19.643,32.143,50,78.571,132.143,203.571,292.857,435.714,614.286,889.286,,,,,-63.929
0894,"01/31/2023, 06:49:48 PM","02/01/2023, 07:57:00 AM",ENJ/USDT,,LONG,3,0.448,0,1,1,0.402,100,25,0.1,0,0.1,closed,0.448,0.415,0.383,0.35,0.46,0.475,0.495,0.53,0.58,0.7,0.9,1.15,1.4,1.92,,,,,,0.314,8.036,18.08,31.473,54.911,88.393,168.75,302.679,470.089,637.5,985.714,,,,,,-89.732
0895,"02/01/2023, 03:42:42 PM","02/05/2023, 01:56:00 PM",COTI/USDT,,LONG,3,0.096,0,1,3,3.672,100,25,0.918,0,0.918,closed,0.096,0.09,0.083,0.077,0.099,0.101,0.104,0.109,0.118,0.135,0.16,0.195,0.245,0.32,0.435,,,,,0.068,7.813,15.625,25,40.625,68.75,121.875,200,309.375,465.625,700,1059.375,,,,,-87.5
0897,"02/03/2023, 03:24:11 PM","02/04/2023, 06:23:00 AM",NEAR/USDT,,LONG,3,2.44,0,1,1,0.43,100,25,0.108,0,0.108,closed,2.44,2.29,2.14,1.99,2.51,2.62,2.75,3,3.35,3.8,4.5,5.5,6.6,7.8,9.1,,,,,1.76,8.607,22.131,38.115,68.852,111.885,167.213,253.279,376.23,511.475,659.016,818.852,,,,,-83.607
0898,"02/04/2023, 04:11:01 PM","02/09/2023, 08:19:00 PM",TOMO/USDT,,LONG,3,0.396,0,3,3,9.8,100,75,7.35,0,7.35,closed,0.428,0.398,0.368,0.338,0.44,0.455,0.475,0.5,0.54,0.6,0.7,0.85,1.1,1.42,1.75,,,,,0.303,8.411,18.925,32.944,50.467,78.505,120.561,190.654,295.794,471.028,695.327,926.636,,,,,-87.617
0899,"02/06/2023, 05:18:05 PM","02/08/2023, 09:05:00 AM",REN/USDT,,LONG,3,0.101,0,1,1,0.446,100,25,0.111,0,0.111,closed,0.101,0.094,0.087,0.08,0.104,0.108,0.113,0.12,0.135,0.16,0.2,0.25,0.32,0.4,,,,,,0.072,8.911,20.792,35.644,56.436,100.99,175.248,294.059,442.574,650.495,888.119,,,,,,-86.436
0900,"02/07/2023, 04:48:55 PM","02/08/2023, 04:10:00 PM",CTSI/USDT,,LONG,3,0.176,0,1,1,0.426,100,25,0.107,0,0.107,closed,0.176,0.165,0.153,0.142,0.181,0.187,0.195,0.205,0.22,0.25,0.29,0.35,0.45,0.55,0.67,,,,,0.126,8.523,18.75,32.386,49.432,75,126.136,194.318,296.591,467.045,637.5,842.045,,,,,-85.227
