signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,TP1,TP2,TP3,TP4,TP5,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,potentialLoss
THETA/USDT:LONG:0.906,"01/23/2023, 07:48:47 AM","01/29/2023, 01:18:00 AM",THETA/USDT,,LONG,5,1.062,0,1,1,6.78,100,100,6.78,0,6.78,closed,1.062,0.963,1.124,1.281,1.629,2.5,,0.906,29.19,103.107,266.949,677.024,,-73.446
LTC/USDT:LONG:81.29,"01/26/2023, 03:14:00 PM","01/30/2023, 11:04:00 AM",LTC/USDT,,LONG,3,89.6,0,1,2,8.5,100,100,8.5,0,8.5,closed,89.6,83,91,94,100,,,81.29,4.688,14.732,34.821,,,-27.824
ONE/USDT:LONG:0.0205,"02/01/2023, 10:43:57 PM","02/01/2023, 11:38:00 PM",ONE/USDT,,LONG,3,0.024,0,1,1,2.425,100,100,2.425,0,2.425,closed,0.024,0.021,0.025,0.028,0.033,,,0.021,7.095,51.909,114.523,,,-44.813
KAVA/USDT:LONG:0.872,"02/02/2023, 12:57:18 PM","02/02/2023, 10:30:00 PM",KAVA/USDT,,LONG,4,1.026,0,1,1,4.26,100,100,4.26,0,4.26,closed,1.026,0.912,1.047,1.143,1.6,,,0.872,8.187,45.614,223.782,,,-60.039
LDOUSDT:LONG:1.6644,"02/07/2023, 05:16:15 AM","02/08/2023, 05:24:00 PM",LDOUSDT,,LONG,2,2.289,0,1,2,9.697,100,100,9.697,0,9.697,closed,2.289,1.838,2.352,2.543,2.831,3.5,,1.664,5.487,22.21,47.302,105.797,,-54.58
LITUSDT:LONG:0.924,"02/09/2023, 04:19:18 PM","02/12/2023, 06:10:00 AM",LITUSDT,,LONG,2,1.246,0,1,2,17.332,100,100,17.332,0,17.332,closed,1.246,0.976,1.284,1.385,2.66,,,0.924,6.1,22.311,226.966,,,-51.685
LITUSDT:LONG:0.924,"02/14/2023, 04:00:54 PM","02/28/2023, 08:46:00 AM",LITUSDT,,LONG,5,1.163,0,1,2,39.363,100,100,39.363,0,39.363,closed,1.163,0.976,1.193,1.385,2.66,,,0.924,12.898,95.443,643.594,,,-102.752
GTCUSDT:LONG:1.6,"02/15/2023, 07:30:10 AM","02/18/2023, 06:06:00 PM",GTCUSDT,,LONG,5,1.838,0,1,3,55.712,100,100,55.712,0,55.712,closed,1.838,1.65,1.878,1.96,2.3,,,1.6,10.881,33.188,125.68,,,-64.744
VETUSDT:LONG:0.02168,"03/05/2023, 11:59:10 AM","03/07/2023, 01:49:00 PM",VETUSDT,,LONG,5,0.025,0,1,0,-23.176,100,100,-23.176,0,-23.176,closed,0.025,0.023,0.025,0.027,0.032,,,0.022,9.069,41.919,137.445,,,-63.079
XRPUSDT:SHORT:0.4162,"03/09/2023, 07:51:19 PM","03/13/2023, 04:21:00 PM",XRPUSDT,,SHORT,5,0.387,0,1,2,15.862,100,100,15.862,0,15.862,closed,0.387,0.403,0.38,0.367,0.333,,,0.416,8.926,25.356,68.823,,,-38.422
BNBUSDT:SHORT:333,"03/09/2023, 07:57:51 PM","03/12/2023, 11:18:00 PM",BNBUSDT,,SHORT,2,284,0,1,1,1.17,100,100,1.17,0,1.17,closed,284,323,278.6,259,240,220,200,333,3.803,17.606,30.986,45.07,59.155,-34.507
LQTYUSDT:LONG:1.9322,"03/13/2023, 07:18:03 AM","03/13/2023, 10:39:00 AM",LQTYUSDT,,LONG,5,2.32,0,1,1,4.17,100,100,4.17,0,4.17,closed,2.32,1.99,2.35,2.5,3,,,1.932,6.466,38.793,146.552,,,-83.578
ONEUSDT:LONG:0.01465,"03/13/2023, 04:09:27 PM","03/13/2023, 08:25:00 PM",ONEUSDT,,LONG,3,0.019,0,1,1,1.163,100,100,1.163,0,1.163,closed,0.019,0.015,0.019,0.021,0.028,,,0.015,5.526,29.368,140.842,,,-68.684
ONEUSDT:LONG:0.01465,"03/14/2023, 01:32:15 PM","03/15/2023, 04:52:00 PM",ONEUSDT,,LONG,3,0.019,0,1,1,11.212,100,100,11.212,0,11.212,closed,0.019,0.015,0.021,0.028,,,,0.015,22.577,131.753,,,,-73.454
SOLUSDT:LONG:18.4,"03/14/2023, 01:47:11 PM","03/14/2023, 02:19:00 PM",SOLUSDT,,LONG,3,21.5,0,1,1,1.796,100,100,1.796,0,1.796,closed,21.5,18.892,21.9,25,30,,,18.4,5.581,48.837,118.605,,,-43.256
ARPAUSDT:LONG:0.0327,"03/14/2023, 01:57:30 PM","03/14/2023, 08:15:00 PM",ARPAUSDT,,LONG,3,0.037,0,1,1,4.839,100,100,4.839,0,4.839,closed,0.037,0.033,0.038,0.06,,,,0.033,11.595,186.486,,,,-34.865
GMTUSDT:SHORT:0.4433,"03/14/2023, 10:18:14 PM","03/17/2023, 10:44:00 PM",GMTUSDT,,SHORT,3,0.4,0,1,1,17.055,100,100,17.055,0,17.055,closed,0.4,,0.359,0.296,,,,0.443,30.6,78.375,,,,-32.475
LQTYUSDT:LONG:2.48,"03/16/2023, 12:02:50 PM","03/19/2023, 12:46:00 AM",LQTYUSDT,,LONG,5,3.02,0,1,0,-89.404,100,100,-89.404,0,-89.404,closed,3.02,2.58,3.3,,,,,2.48,46.358,,,,,-89.404
MANAUSDT:LONG:0.5318,"03/18/2023, 02:18:51 AM","03/18/2023, 09:12:00 AM",MANAUSDT,,LONG,2,0.649,0,1,1,2.425,100,100,2.425,0,2.425,closed,0.649,0.562,0.668,0.696,0.851,,,0.532,5.763,14.453,62.219,,,-36.117
DOGEUSDT:LONG:0.06,"03/18/2023, 02:25:56 AM","03/20/2023, 05:59:00 PM",DOGEUSDT,,LONG,2,0.078,0,1,0,-14.52,100,100,-14.52,0,-14.52,closed,0.078,0.066,0.08,0.09,0.14,,,0.06,4.558,30.192,158.515,,,-46.351
NEARUSDT:SHORT:2.1,"03/22/2023, 08:43:27 PM","03/23/2023, 06:06:00 PM",NEARUSDT,,SHORT,2,1.91,0,1,0,-16.963,100,100,-16.963,0,-16.963,closed,1.91,2.041,1.863,1.5,,,,2.1,4.921,42.932,,,,-19.895
BNBUSDT:SHORT:362,"03/27/2023, 05:05:00 PM","04/04/2023, 08:50:00 AM",BNBUSDT,,SHORT,2,311,0,1,1,3.546,100,100,3.546,0,3.546,closed,311,344,300,286,250,,,362,7.074,16.077,39.228,,,-32.797
HBARUSDT:SHORT:0.074,"04/03/2023, 10:16:13 PM","04/05/2023, 02:43:00 AM",HBARUSDT,,SHORT,5,0.067,0,1,0,-5.134,100,100,-5.134,0,-5.134,closed,0.067,0.073,0.066,0.064,0.059,,,0.074,11.235,23.065,62.872,,,-50.595
GMTUSDT:LONG:0.349,"04/05/2023, 02:41:20 AM","04/05/2023, 08:00:00 AM",GMTUSDT,,LONG,5,0,0,0,0,0,100,0,0,0,0,closed,0.382,0.359,0.389,0.4,0.42,,,0.349,9.83,24.246,50.459,,,-42.595
ETHUSDT:LONG:1681,"04/05/2023, 03:08:25 AM","04/19/2023, 11:22:00 PM",ETHUSDT,,LONG,5,1911,0,1,2,12.44,100,100,12.44,0,12.44,closed,1911,1735,1948,2000,2200,2400,,1681,9.681,23.286,75.615,127.943,,-60.178
FLMUSDT:LONG:0.086,"04/06/2023, 11:02:48 AM","04/06/2023, 02:05:00 PM",FLMUSDT,,LONG,3,0.104,0,1,1,1.214,100,100,1.214,0,1.214,closed,0.104,0.089,0.107,0.113,0.135,0.15,,0.086,6.328,25.024,88.303,131.448,,-52.637
HBARUSDT:LONG:0.057,"04/06/2023, 11:08:14 PM","04/12/2023, 06:52:00 AM",HBARUSDT,,LONG,3,0.065,0,1,0,-8.94,100,100,-8.94,0,-8.94,closed,0.065,0.059,0.067,0.072,0.08,,,0.057,6.498,32.304,68.664,,,-37.327
AVAXUSDT:SHORT:18.445,"04/07/2023, 01:42:36 PM","04/09/2023, 11:48:00 PM",AVAXUSDT,,SHORT,3,17.6,0,1,1,2.156,100,100,2.156,0,2.156,closed,17.6,18.045,17.245,16.384,15.336,13.907,,18.445,6.051,20.727,38.591,62.949,,-14.403
AGIXUSDT:SHORT:0.43,"04/08/2023, 02:56:58 AM","04/08/2023, 01:05:00 PM",AGIXUSDT,,SHORT,3,0.391,0,1,0,-1.687,100,100,-1.687,0,-1.687,closed,0.391,0.42,0.387,0.352,0.29,,,0.43,3.442,30.13,77.664,,,-29.67
IDUSDT:SHORT:0.46286,"04/09/2023, 11:48:49 AM","04/10/2023, 01:13:00 PM",IDUSDT,,SHORT,10,0.435,0,1,0,-53.079,100,100,-53.079,0,-53.079,closed,0.435,0.458,0.43,0.393,0.2,,,0.463,10.869,97.725,540.441,,,-63.557
EGLDUSDT:LONG:39.3,"04/09/2023, 09:26:57 PM","04/10/2023, 12:48:00 AM",EGLDUSDT,,LONG,12,40.28,0,1,1,3.362,100,100,3.362,0,3.362,closed,40.28,39.75,40.53,41.29,42.39,,,39.3,7.448,30.089,62.86,,,-29.196
AXSUSDT:LONG:8.3,"04/10/2023, 06:57:49 PM","04/12/2023, 03:47:00 AM",AXSUSDT,,LONG,10,8.51,0,1,1,5.94,100,100,5.94,0,5.94,closed,8.51,,8.66,8.85,9,,,8.3,17.626,39.953,57.579,,,-24.677
CFXUSDT:LONG:0.345,"04/10/2023, 09:26:03 PM","04/10/2023, 10:20:00 PM",CFXUSDT,,LONG,3,0.42,0,1,1,1.365,100,100,1.365,0,1.365,closed,0.42,0.36,0.43,0.47,0.72,1.2,,0.345,7.509,36.114,214.899,558.164,,-53.278
ACHUSDT:LONG:0.03675,"04/10/2023, 09:46:39 PM","04/11/2023, 02:59:00 AM",ACHUSDT,,LONG,3,0.043,0,1,1,0.975,100,100,0.975,0,0.975,closed,0.043,0.038,0.044,0.046,0.051,0.08,,0.037,5.939,15.608,54.282,252.486,,-46.202
CFXUSDT:LONG:0.345,"04/11/2023, 12:30:55 PM","04/11/2023, 01:06:00 PM",CFXUSDT,,LONG,3,0.428,0,1,1,0.266,100,100,0.266,0,0.266,closed,0.428,0.36,0.43,0.47,0.72,1.2,,0.345,1.402,29.439,204.673,541.121,,-58.178
ETH/USDT:Long:1952,"04/13/2023, 11:31:55 AM","04/13/2023, 12:12:00 PM",ETH/USDT,,LONG,10,1984,0,1,0,-2.535,100,100,-2.535,0,-2.535,closed,1984,,2050,,,,,1952,33.266,,,,,-16.129
ATOM/USDT:Long:10.6,"04/13/2023, 02:25:12 PM","04/19/2023, 10:13:00 AM",ATOM/USDT,,LONG,5,11.67,0,1,2,14.211,100,100,14.211,0,14.211,closed,11.67,10.9,11.86,12.37,13.3,,,10.6,8.141,29.991,69.837,,,-45.844
HBAR/USDT:Long:0.0559,"04/13/2023, 08:22:41 PM","04/14/2023, 05:04:00 PM",HBAR/USDT,,LONG,5,0.067,0,1,1,3.922,100,100,3.922,0,3.922,closed,0.067,0.059,0.068,0.071,0.1,,,0.056,9.989,33.273,251.089,,,-80.141
OPUSDT:LONG:2.4125,"04/13/2023, 08:43:41 PM","04/14/2023, 03:13:00 AM",OPUSDT,,LONG,10,2.475,0,1,1,18.847,100,100,18.847,0,18.847,closed,2.475,,2.509,,,,,2.413,13.535,,,,,-25.253
JOE/USDT:Long:0.62,"04/13/2023, 09:23:52 PM","04/14/2023, 09:50:00 AM",JOE/USDT,,LONG,5,0.696,0,1,0,-38.782,100,100,-38.782,0,-38.782,closed,0.696,0.65,0.71,1.1,,,,0.62,9.911,290.003,,,,-54.726
XRP/USDT:Long:0.48,"04/16/2023, 09:12:33 PM","04/19/2023, 08:46:00 AM",XRP/USDT,,LONG,5,0.523,0,1,1,4.376,100,100,4.376,0,4.376,closed,0.523,0.495,0.531,0.56,0.7,,,0.48,6.974,34.964,168.705,,,-41.46
BNX/USDT:Long:0.62,"04/18/2023, 12:09:18 PM","04/18/2023, 12:24:00 PM",BNX/USDT,,LONG,5,0,0,0,0,0,100,0,0,0,0,closed,0.673,0.64,0.683,0.7,0.9,,,0.62,7.429,20.059,168.648,,,-39.376
DOT/USDT:Long:6.4,"04/18/2023, 01:42:32 PM","04/19/2023, 10:22:00 AM",DOT/USDT,,LONG,5,6.954,0,1,0,-39.833,100,100,-39.833,0,-39.833,closed,6.954,6.6,7,7.5,10,,,6.4,3.307,39.258,219.011,,,-39.833
YFI/USDT:Short:8500,"04/25/2023, 06:50:30 PM","04/26/2023, 01:06:00 PM",YFI/USDT,,SHORT,3,7786,0,1,0,-20.344,100,100,-20.344,0,-20.344,closed,7786,8300,7640,7477,6500,,,8500,5.625,11.906,49.55,,,-27.511
MATIC/USDT:LONG:0.9758,"04/25/2023, 11:17:11 PM","04/25/2023, 11:23:00 PM",MATIC/USDT,,LONG,5,0.995,0,1,2,2.978,100,100,2.978,0,2.978,closed,0.995,,1.001,1.005,1.18,,,0.976,3.419,5.128,93.263,,,-9.402
HBAR/USDT:LONG:0.053,"04/26/2023, 09:00:21 AM","04/26/2023, 09:32:00 PM",HBAR/USDT,,LONG,5,0.061,0,1,1,3.198,100,100,3.198,0,3.198,closed,0.061,0.056,0.062,0.068,0.073,,,0.053,8.197,57.377,98.361,,,-65.574
GMT/USDT:LONG:0.2738,"04/26/2023, 12:13:20 PM","04/30/2023, 02:55:00 AM",GMT/USDT,,LONG,3,0.334,0,1,1,3.378,100,100,3.378,0,3.378,closed,0.334,0.294,0.345,0.36,0.47,,,0.274,9.431,23.353,122.156,,,-54.072
FTM/USDT:LONG:0.37,"04/27/2023, 10:49:28 PM","05/08/2023, 07:01:00 PM",FTM/USDT,,LONG,3,0.432,0,1,0,-42.758,100,100,-42.758,0,-42.758,closed,0.432,0.388,0.453,0.47,0.52,,,0.37,14.739,26.767,61.53,,,-42.758
ARB/USDT:LONG:1.27,"05/03/2023, 09:17:15 PM","05/04/2023, 03:39:00 PM",ARB/USDT,,LONG,7,1.325,0,1,1,3.249,100,100,3.249,0,3.249,closed,1.325,1.29,1.345,1.39,1.47,,,1.27,10.566,34.34,76.604,,,-29.057
SOL/USDT:LONG:20.27,"05/05/2023, 06:35:18 PM","05/06/2023, 10:01:00 AM",SOL/USDT,,LONG,4,22.53,0,1,1,1.076,100,100,1.076,0,1.076,closed,22.53,20.7,22.8,23.83,25.36,,,20.27,4.794,23.08,50.244,,,-40.124
XRP/USDT:SHORT:0.4863,"05/06/2023, 04:16:48 PM","05/17/2023, 02:13:00 AM",XRP/USDT,,SHORT,5,0.455,0,1,2,20.959,100,100,20.959,0,20.959,closed,0.455,0.48,0.446,0.419,0.34,,,0.486,9.131,38.834,125.963,,,-34.983
ADA/USDT:SHORT:0.3989,"05/08/2023, 07:18:35 AM","05/09/2023, 03:05:00 AM",ADA/USDT,,SHORT,5,0.369,0,1,1,4.54,100,100,4.54,0,4.54,closed,0.369,0.393,0.36,0.33,0.309,,,0.399,11.666,52.36,80.304,,,-41.101
SXP/USDT:SHORT:0.477,"05/10/2023, 12:31:06 PM","05/10/2023, 02:17:00 PM",SXP/USDT,,SHORT,3,0.42,0,1,0,1.856,100,100,1.856,0,1.856,closed,0.42,0.466,0.41,0.28,0.24,,,0.477,7.352,100.143,128.694,,,-40.471
MANA/USDT:SHORT:0.495,"05/11/2023, 04:54:50 PM","05/12/2023, 11:11:00 PM",MANA/USDT,,SHORT,4,0.452,0,1,1,3.631,100,100,3.631,0,3.631,closed,0.452,0.486,0.443,0.385,0.3,,,0.495,8.407,59.292,134.513,,,-38.053
MASK/USDT:LONG:3.6,"05/15/2023, 09:36:11 AM","05/18/2023, 05:18:00 PM",MASK/USDT,,LONG,7,3.871,0,1,3,76.076,100,100,76.076,0,76.076,closed,3.871,3.68,3.98,4.3,4.6,,,3.6,19.711,77.577,131.826,,,-49.005
EGLD/USDT:LONG:34.71,"05/17/2023, 07:58:02 PM","06/05/2023, 03:13:00 AM",EGLD/USDT,,LONG,6,37.44,0,1,1,3.38,100,100,3.38,0,3.38,closed,37.44,35.59,38.14,39.12,43,,,34.71,11.218,26.923,89.103,,,-43.75
ALGO/USDT:SHORT:0.1766,"05/24/2023, 06:28:54 PM","06/10/2023, 06:24:00 AM",ALGO/USDT,,SHORT,3,0.155,0,1,3,49.872,100,100,49.872,-0,49.872,closed,0.155,0.171,0.152,0.142,0.1,,,0.177,5.806,25.742,106.452,,,-41.806
ADA/USDT:SHORT:0.38,"05/26/2023, 10:58:44 AM","05/28/2023, 01:19:00 PM",ADA/USDT,,SHORT,7,0.358,0,1,0,-39.497,100,100,-39.497,0,-39.497,closed,0.358,0.371,0.354,0.309,0.253,,,0.38,7.039,96.397,204.721,,,-43.017
FTM/USDT:LONG:0.316,"05/28/2023, 01:23:10 PM","05/31/2023, 07:01:00 AM",FTM/USDT,,LONG,7,0.34,0,1,0,-49.412,100,100,-49.412,0,-49.412,closed,0.34,0.32,0.365,0.39,,,,0.316,51.471,102.941,,,,-49.412
