signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,TP Pot. Profit 9,TP Pot. Profit 10,TP Pot. Profit 11,potentialLoss
SXP/USDT:LONG:0.275,"03/18/2023, 01:21:36 PM","03/21/2023, 06:43:00 AM",SXP/USDT,,LONG,10,0.29,0,4,0,-51.567,100,100,-51.567,0,-51.567,closed,0.295,0.292,0.288,0.285,0.304,0.31,0.316,0.322,0.334,0.345,0.354,0.37,,,,0.275,30.508,50.847,71.186,91.525,132.203,169.492,200,254.237,,,,-67.797
XRP/USDT:LONG:0.35,"03/20/2023, 10:20:00 AM","03/29/2023, 09:28:00 AM",XRP/USDT,,LONG,10,0.377,0,2,9,197.734,100,50,98.867,0,98.867,closed,0.38,0.373,0.367,0.36,0.39,0.4,0.41,0.42,0.44,0.46,0.48,0.51,0.55,,,0.35,26.316,52.632,78.947,105.263,157.895,210.526,263.158,342.105,447.368,,,-78.947
DEFI/USDT:SHORT:640,"03/20/2023, 07:52:42 PM","03/20/2023, 10:04:00 PM",DEFI/USDT,,SHORT,10,609,0,1,1,3.049,100,25,0.762,0,0.762,closed,609,612.667,616.333,620,596,584,575,565,545,532,520,,,,,640,21.346,41.051,55.829,72.25,105.09,126.437,146.141,,,,,-50.903
VET/USDT:SHORT:0.0246,"03/20/2023, 08:00:31 PM","03/21/2023, 12:15:00 AM",VET/USDT,,SHORT,10,0,0,0,0,0,100,0,0,0,0,closed,0.024,0.024,0.024,0.024,0.023,0.023,0.022,0.022,0.021,0.02,0.02,,,,,0.025,21.277,38.298,55.319,72.34,106.383,140.426,170.213,,,,,-46.809
FLOW/USDT:SHORT:1.08,"03/22/2023, 07:40:34 PM","03/23/2023, 04:15:00 PM",FLOW/USDT,,SHORT,10,1.022,0,2,2,13.258,100,50,6.629,0,6.629,closed,1.015,1.03,1.045,1.06,0.99,0.96,0.94,0.92,0.89,0.85,0.81,,,,,1.08,24.631,54.187,73.892,93.596,123.153,162.562,201.97,,,,,-64.039
SAND/USDT:LONG:0.62,"03/23/2023, 06:38:28 PM","03/24/2023, 06:49:00 PM",SAND/USDT,,LONG,10,0.651,0,4,0,-47.468,100,100,-47.468,0,-47.468,closed,0.662,0.655,0.647,0.64,0.675,0.685,0.7,0.715,0.74,0.76,0.78,,,,,0.62,19.637,34.743,57.402,80.06,117.825,148.036,178.248,,,,,-63.444
UNFI/USDT:SHORT:5.2,"03/25/2023, 02:05:08 PM","03/26/2023, 05:00:00 AM",UNFI/USDT,,SHORT,10,4.766,0,2,1,2.709,100,50,1.355,0,1.355,closed,4.72,4.813,4.907,5,4.65,4.56,4.46,4.36,4.15,3.95,3.75,3.6,3.3,,,5.2,14.831,33.898,55.085,76.271,120.763,163.136,205.508,237.288,300.847,,,-101.695
MATIC/USDT:SHORT:1.12,"03/25/2023, 09:10:07 PM","03/28/2023, 09:12:00 PM",MATIC/USDT,,SHORT,10,1.083,0,4,2,11.16,100,100,11.16,0,11.16,closed,1.067,1.078,1.089,1.1,1.045,1.025,1.005,0.985,0.95,0.91,0.88,0.85,,,,1.12,20.619,39.363,58.107,76.851,109.653,147.142,175.258,203.374,,,,-49.672
DOGE/USDT:SHORT:0.0765,"03/25/2023, 09:20:32 PM","03/28/2023, 10:13:00 PM",DOGE/USDT,,SHORT,10,0.074,0,4,1,4.812,100,100,4.812,0,4.812,closed,0.073,0.074,0.074,0.075,0.072,0.071,0.069,0.068,0.065,0.062,0.06,,,,,0.077,20.548,34.247,54.795,75.342,116.438,150.685,178.082,,,,,-47.945
ROSE/USDT:LONG:0.056,"03/31/2023, 08:17:13 PM","04/01/2023, 08:29:00 AM",ROSE/USDT,,LONG,10,0.06,0,1,1,2.602,100,25,0.65,0,0.65,closed,0.06,0.059,0.058,0.058,0.062,0.063,0.064,0.065,0.068,0.07,0.072,,,,,0.056,18.212,34.768,56.291,76.159,125.828,158.94,192.053,,,,,-72.848
DOT/USDT:LONG:5.8,"04/01/2023, 10:14:09 PM","04/02/2023, 04:15:00 AM",DOT/USDT,,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,6.28,6.187,6.093,6,6.4,6.5,6.65,6.75,7,7.3,7.6,,,,,5.8,19.108,35.032,58.917,74.841,114.65,162.42,210.191,,,,,-76.433
REEF/USDT:LONG:0.00256,"04/01/2023, 11:32:18 PM","04/02/2023, 02:09:00 AM",REEF/USDT,,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,,,,,,0.003,14.599,36.496,58.394,80.292,116.788,167.883,,,,,,-65.693
COMP/USDT:LONG:41,"04/02/2023, 06:55:01 AM","04/02/2023, 02:27:00 PM",COMP/USDT,,LONG,10,43.4,0,1,1,2.304,100,25,0.576,0,0.576,closed,43.4,42.933,42.467,42,44,44.8,45.6,46.4,48,50,,,,,,41,13.825,32.258,50.691,69.124,105.991,152.074,,,,,,-55.3
LRC/USDT:SHORT:0.372,"04/07/2023, 06:23:17 PM","04/10/2023, 07:02:00 PM",LRC/USDT,,SHORT,10,0.357,0,2,2,10.896,100,50,5.448,0,5.448,closed,0.355,0.358,0.362,0.365,0.348,0.342,0.336,0.33,0.316,0.3,,,,,,0.372,19.718,36.62,53.521,70.423,109.859,154.93,,,,,,-47.887
FTM/USDT:SHORT:0.47,"04/09/2023, 08:10:05 AM","04/10/2023, 09:00:00 PM",FTM/USDT,,SHORT,10,0.453,0,4,0,-38.248,100,100,-38.248,0,-38.248,closed,0.446,0.45,0.455,0.46,0.435,0.425,0.415,0.405,0.39,0.38,,,,,,0.47,23.569,46.016,68.462,90.909,124.579,147.026,,,,,,-54.994
